,countries,polarity,subjectivity
23,India,0.03333333333333333,0.06666666666666667
59,United,0.0,0.1
5,Italy,-0.016666666666666666,0.05000000000000001
5,Italy,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
2,Spain,0.0,0.0
33,Belgium,0.0,0.0
2,Spain,0.4,1.0
33,Belgium,0.4,1.0
1,Brazil,0.0,0.0
50,Egypt,0.0,0.0
52,Jordan,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
52,Jordan,0.0,0.0
52,Jordan,0.0,0.0
52,Jordan,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
1,Brazil,0.7,0.6000000000000001
23,India,-0.3166666666666667,0.3
23,India,-0.45,0.6
23,India,0.34285714285714286,0.6178571428571429
24,Indonesia,0.0,0.0
1,Brazil,-0.5,1.0
23,India,0.04999999999999999,0.6499999999999999
23,India,0.0,0.0
23,India,0.04999999999999999,0.6499999999999999
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.15,0.38333333333333336
23,India,0.225,0.3666666666666667
23,India,0.625,0.31666666666666665
34,Pakistan,-0.375,0.5
24,Indonesia,0.0,0.0
2,Spain,0.5,0.5
2,Spain,0.5,0.5
23,India,0.0,0.0
23,India,0.0,0.0
12,Mexico,0.13636363636363635,0.45454545454545453
63,Ecuador,0.13636363636363635,0.45454545454545453
23,India,0.0,0.0
23,India,-0.3166666666666667,0.3
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
24,Indonesia,0.0,1.0
33,Belgium,0.5,0.5
84,Netherlands,0.5,0.5
33,Belgium,0.21428571428571427,0.5714285714285714
84,Netherlands,0.21428571428571427,0.5714285714285714
18,SouthAfrica,0.75,0.95
69,Africa,0.75,0.95
88,Madagascar,0.75,0.95
18,SouthAfrica,0.7,0.6000000000000001
69,Africa,0.7,0.6000000000000001
88,Madagascar,0.7,0.6000000000000001
18,SouthAfrica,0.0,0.0
69,Africa,0.0,0.0
88,Madagascar,0.0,0.0
2,Spain,0.0,0.0
14,France,0.4,0.6000000000000001
14,France,0.1,0.9
72,Tanzania,-0.1,0.1
72,Tanzania,0.0,0.0
12,Mexico,0.0,0.0
32,Venezuela,0.32083333333333336,0.48333333333333334
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
59,United,0.13636363636363635,0.45454545454545453
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.25,0.8500000000000001
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
2,Spain,0.1,0.15000000000000002
2,Spain,0.4,1.0
2,Spain,-0.35,0.75
2,Spain,-0.125,0.375
2,Spain,-0.875,1.0
2,Spain,-0.07142857142857142,0.33035714285714285
23,India,0.0,0.0
23,India,0.0,0.0
2,Spain,0.13636363636363635,0.45454545454545453
59,United,0.0,0.0
23,India,0.0,0.0
7,SriLanka,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,-0.041666666666666664,0.625
9,Colombia,-0.18333333333333335,0.41666666666666663
2,Spain,0.1,0.1
23,India,0.0,0.0
23,India,0.219140625,0.3666666666666667
23,India,0.875,0.6000000000000001
23,India,0.0,0.25
2,Spain,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.10000000000000002,0.3833333333333333
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.10000000000000002,0.3833333333333333
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
74,Burundi,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.10000000000000002,0.3833333333333333
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
59,United,0.0,0.5
23,India,0.0,0.0
23,India,0.0,0.0
74,Burundi,0.0,0.0
74,Burundi,0.18181818181818182,0.5
2,Spain,0.0,0.0
91,Europe,0.0,0.0
59,United,0.14814814814814814,0.7296296296296295
23,India,0.0,0.4
23,India,0.0,0.0
23,India,0.0,0.0
66,Paraguay,0.175,0.4666666666666667
66,Paraguay,0.0,0.0
66,Paraguay,-0.0625,0.0625
23,India,0.0,0.0
66,Paraguay,0.175,0.4666666666666667
66,Paraguay,0.0,0.0
66,Paraguay,-0.0625,0.0625
23,India,0.0,0.0
59,United,0.0,0.0
67,UnitedKingdom,0.0,0.0
59,United,0.0,0.0
67,UnitedKingdom,0.0,0.0
66,Paraguay,0.175,0.4666666666666667
66,Paraguay,0.0,0.0
66,Paraguay,-0.0625,0.0625
23,India,0.0,0.0
59,United,-0.15000000000000002,0.45
59,United,0.12499999999999999,0.525
59,United,0.35,0.65
59,United,-0.05,0.3
23,India,0.0,0.0
23,India,0.0,0.0
9,Colombia,0.4,1.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
59,United,-0.25,0.25
59,United,0.0,0.0
2,Spain,-0.45000000000000007,0.8
2,Spain,0.0,0.0
19,Nigeria,0.1340909090909091,0.6511363636363636
78,Ghana,0.1340909090909091,0.6511363636363636
7,SriLanka,-0.25,0.5333333333333333
14,France,0.0,0.0
14,France,0.0,0.0
14,France,0.0,0.0
14,France,0.0,0.0
23,India,0.0,0.0
23,India,0.1,0.15000000000000002
23,India,0.0,0.0
5,Italy,-0.2,0.4
59,United,0.14814814814814814,0.7296296296296295
12,Mexico,0.0,0.0
2,Spain,0.0,0.0
17,Canada,0.0,0.15555555555555556
23,India,0.0,0.0
23,India,0.19,0.82
23,India,-0.3166666666666667,0.3
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.03333333333333333,0.06666666666666667
23,India,0.0,0.0
23,India,0.0,0.0
23,India,-0.6999999999999998,0.6666666666666666
14,France,0.0,0.0
59,United,0.1,0.3666666666666667
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.3,0.0
23,India,0.04999999999999999,0.825
23,India,0.0,0.0
23,India,0.17857142857142858,0.3357142857142857
23,India,0.0,0.0
9,Colombia,0.01785714285714285,0.7678571428571428
9,Colombia,0.0,0.0
23,India,0.0,0.0
23,India,0.5,0.5
59,United,0.16515151515151516,0.353030303030303
59,United,0.0,0.0
59,United,0.0,0.0
12,Mexico,0.0,0.3
23,India,0.125,0.4166666666666667
23,India,0.0,0.0
59,United,0.0,0.0
59,United,0.3444444444444444,0.5444444444444444
14,France,0.07777777777777778,0.20555555555555557
90,Congo,0.0,0.0
90,Congo,1.0,0.3
5,Italy,0.0,1.0
5,Italy,0.8,1.0
5,Italy,0.0,0.0
23,India,-0.3,0.2
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,1.0
9,Colombia,0.35,0.55
23,India,0.125,0.4166666666666667
23,India,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,0.0,0.0
9,Colombia,-0.6999999999999998,0.6666666666666666
9,Colombia,1.0,0.75
14,France,0.15833333333333333,0.325
23,India,0.0,0.1
23,India,-0.07777777777777779,0.6444444444444445
23,India,0.3,0.6
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.22857142857142856,0.8119047619047618
23,India,0.0,0.0
23,India,0.0,0.0
59,United,0.075,0.675
59,United,-0.15000000000000002,0.45
59,United,-0.01249999999999999,0.37916666666666665
9,Colombia,0.0,0.0
59,United,0.0,0.0
59,United,0.075,0.675
59,United,0.12499999999999999,0.525
23,India,0.0,0.1
23,India,-0.07777777777777779,0.6444444444444445
23,India,0.0,0.0
23,India,0.0,0.3
23,India,0.3,0.6
23,India,-0.05,0.1
7,SriLanka,0.0,0.0
59,United,0.0,0.0
8,Argentina,0.0,0.0
8,Argentina,0.0,0.0
2,Spain,0.0,0.0
2,Spain,-0.18333333333333338,0.3333333333333333
2,Spain,0.0,0.0
1,Brazil,-0.5,1.0
14,France,0.25,0.45
9,Colombia,-0.3,0.9
7,SriLanka,-0.2,0.7
23,India,0.14545454545454545,0.23484848484848486
23,India,0.14545454545454545,0.23484848484848486
23,India,0.14545454545454545,0.23484848484848486
23,India,0.0,0.0
23,India,0.0,1.0
23,India,0.0,0.0
23,India,0.4,0.8
23,India,0.0,0.0
23,India,-0.25,1.0
9,Colombia,0.0,0.25
23,India,0.48828125,0.1
41,Myanmar,0.0,0.0
23,India,-0.15714285714285717,0.2714285714285714
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
23,India,0.0,0.0
41,Myanmar,-0.2,0.7
23,India,0.0,0.0
23,India,-0.25,1.0
