counter,topic,all_reactions,comments,shares,interaction_sum
401,0,21.0,0.0,5.0,26
402,1,87.0,21.0,162.0,270
403,0,0.0,2000.0,5198.0,7198
404,0,1700.0,6.0,97076.0,98782
405,0,3000.0,0.0,133.0,3133
406,0,263.0,112.0,345.0,720
407,0,44.0,2.0,89.0,135
408,0,0.0,0.0,0.0,0
409,1,0.0,0.0,0.0,0
410,0,15.0,1.0,208.0,224
411,2,2.0,0.0,0.0,2
412,1,0.0,0.0,0.0,0
413,1,0.0,0.0,0.0,0
414,1,0.0,0.0,0.0,0
415,1,0.0,0.0,0.0,0
416,1,0.0,0.0,0.0,0
417,1,0.0,0.0,0.0,0
418,0,30.0,0.0,15.0,45
419,0,72.0,0.0,41.0,113
420,1,87.0,21.0,162.0,270
421,0,63.0,11.0,282.0,356
422,0,147.0,12.0,50.0,209
423,1,0.0,0.0,0.0,0
424,1,0.0,0.0,0.0,0
425,0,107.0,14.0,80.0,201
426,1,0.0,0.0,0.0,0
427,1,0.0,0.0,0.0,0
428,1,0.0,0.0,0.0,0
429,1,0.0,0.0,0.0,0
430,1,0.0,0.0,0.0,0
431,0,19.0,0.0,39.0,58
432,1,0.0,0.0,0.0,0
433,0,2400.0,257.0,2928.0,5585
434,0,985.0,0.0,109.0,1094
435,0,112.0,0.0,5.0,117
436,0,112.0,0.0,5.0,117
437,0,112.0,0.0,5.0,117
438,0,16.0,0.0,1.0,17
439,0,22000.0,16000.0,16113.0,54113
440,0,107000.0,91000.0,64012.0,262012
441,1,0.0,0.0,0.0,0
442,0,23.0,33.0,10.0,66
443,1,19.0,4.0,1.0,24
444,1,0.0,0.0,0.0,0
445,1,5500.0,962.0,16614.0,23076
446,1,0.0,0.0,0.0,0
447,0,685.0,81.0,69.0,835
448,0,0.0,56.0,1849.0,1905
449,0,0.0,78000.0,16462.0,94462
450,1,0.0,0.0,0.0,0
451,0,8.0,11.0,4.0,23
452,0,7.0,0.0,8.0,15
453,0,35.0,53.0,22.0,110
454,1,0.0,0.0,0.0,0
455,0,13.0,0.0,0.0,13
456,0,0.0,13.0,8.0,21
457,0,1000.0,259.0,243.0,1502
458,0,0.0,22.0,130.0,152
459,0,0.0,0.0,2.0,2
460,0,6.0,0.0,1.0,7
461,0,29.0,0.0,3.0,32
462,0,290.0,0.0,20.0,310
463,0,1000.0,0.0,118.0,1118
464,1,0.0,0.0,0.0,0
465,0,77.0,13.0,4.0,94
466,0,259.0,84.0,37.0,380
467,0,32.0,7.0,0.0,39
468,0,0.0,36.0,131.0,167
469,0,582.0,0.0,374.0,956
470,0,2500.0,3.0,19493.0,21996
471,0,78.0,0.0,24.0,102
472,1,0.0,0.0,0.0,0
473,1,0.0,0.0,0.0,0
474,0,0.0,260.0,1597.0,1857
475,0,69000.0,0.0,3215.0,72215
476,0,2200.0,60.0,2860.0,5120
477,0,338.0,238.0,913.0,1489
478,0,115.0,10.0,154.0,279
479,2,8200.0,11000.0,7112.0,26312
480,0,288.0,77.0,147.0,512
481,0,945.0,0.0,2547.0,3492
482,0,2100.0,636.0,1409.0,4145
483,1,0.0,36.0,285.0,321
484,1,0.0,0.0,0.0,0
485,1,0.0,0.0,0.0,0
486,1,0.0,0.0,0.0,0
487,1,0.0,0.0,0.0,0
488,1,0.0,0.0,0.0,0
489,0,10.0,0.0,6.0,16
490,0,79.0,0.0,18.0,97
491,2,16.0,0.0,1.0,17
492,1,0.0,0.0,0.0,0
493,1,0.0,0.0,0.0,0
494,1,0.0,0.0,0.0,0
495,0,0.0,1.0,3576.0,3577
496,0,1.0,0.0,0.0,1
497,0,59.0,0.0,130.0,189
498,0,0.0,112.0,656.0,768
499,1,0.0,0.0,0.0,0
500,1,0.0,0.0,0.0,0
501,0,8700.0,1000.0,2743.0,12443
502,1,0.0,0.0,0.0,0
503,0,7.0,0.0,0.0,7
504,0,1100.0,19000.0,52038.0,72138
505,1,0.0,0.0,0.0,0
506,1,0.0,0.0,0.0,0
507,0,119.0,82.0,125.0,326
508,1,0.0,0.0,0.0,0
509,0,4.0,0.0,1.0,5
510,0,219.0,159.0,928.0,1306
511,0,664.0,49.0,1481.0,2194
512,0,2.0,0.0,2.0,4
513,0,412.0,129.0,384.0,925
514,1,0.0,0.0,0.0,0
515,1,0.0,0.0,0.0,0
516,0,2500.0,3.0,19491.0,21994
517,1,0.0,0.0,0.0,0
518,2,0.0,6.0,491.0,497
519,0,4.0,0.0,1.0,5
520,1,30.0,0.0,57.0,87
521,0,10.0,0.0,11.0,21
522,1,0.0,0.0,0.0,0
523,1,0.0,0.0,0.0,0
524,0,12.0,0.0,25.0,37
525,0,0.0,20.0,37443.0,37463
526,0,0.0,243.0,1641.0,1884
527,0,3900.0,0.0,1357.0,5257
528,0,0.0,18.0,197.0,215
529,0,0.0,125.0,648.0,773
530,0,4500.0,90.0,3445.0,8035
531,1,5500.0,962.0,16613.0,23075
532,0,384000.0,97000.0,110510.0,591510
533,0,22.0,3.0,24.0,49
534,1,0.0,0.0,0.0,0
535,0,0.0,31000.0,111414.0,142414
536,0,384.0,691.0,264.0,1339
537,1,0.0,0.0,0.0,0
538,1,0.0,0.0,0.0,0
539,1,17.0,0.0,0.0,17
540,1,0.0,0.0,0.0,0
541,1,0.0,0.0,0.0,0
542,0,1600.0,739.0,2429.0,4768
543,0,251.0,84.0,100.0,435
544,0,138.0,0.0,16.0,154
545,0,43000.0,0.0,10717.0,53717
546,1,0.0,70.0,475.0,545
547,0,3900.0,31000.0,396.0,35296
548,0,11.0,0.0,6.0,17
549,0,33.0,24.0,160.0,217
550,0,9.0,10.0,149.0,168
551,0,43000.0,0.0,10717.0,53717
552,1,0.0,0.0,0.0,0
553,0,0.0,73.0,2.0,75
554,2,0.0,61.0,60.0,121
555,0,53.0,9.0,3349.0,3411
556,1,0.0,0.0,0.0,0
557,1,0.0,15.0,131.0,146
558,0,3.0,0.0,0.0,3
559,0,4.0,3.0,2.0,9
560,1,0.0,0.0,0.0,0
561,0,305.0,71.0,146.0,522
562,0,948.0,401.0,1280.0,2629
563,0,0.0,5.0,2681.0,2686
564,0,3100.0,11000.0,884.0,14984
565,0,1300.0,374.0,1549.0,3223
566,0,260.0,450.0,386.0,1096
567,1,1100.0,539.0,265.0,1904
568,0,25000.0,38000.0,7015.0,70015
569,1,0.0,0.0,0.0,0
570,0,0.0,231.0,1068.0,1299
571,0,6500.0,0.0,2180.0,8680
572,0,0.0,31000.0,111414.0,142414
573,0,0.0,7.0,2416.0,2423
574,0,0.0,15.0,195.0,210
575,0,0.0,0.0,0.0,0
576,0,5.0,0.0,2.0,7
577,0,5.0,0.0,3.0,8
578,1,0.0,35.0,72.0,107
579,0,4500.0,0.0,9109.0,13609
