,topic,all_reactions,comments,shares,interaction_sum,polarity,subjectivity
306,0,4500.0,90.0,3445.0,8035,0.009787622771493738,0.5062660010240655
307,1,22.0,3.0,24.0,49,0.0,0.0
308,3,384.0,691.0,264.0,1339,0.18474025974025973,0.5205988455988455
309,2,1600.0,739.0,2429.0,4768,0.11666666666666667,0.5166666666666667
310,1,138.0,0.0,16.0,154,0.2545454545454546,0.4117424242424242
311,3,43000.0,0.0,10717.0,53717,0.1601190476190476,0.6035714285714285
312,1,3900.0,31000.0,396.0,35296,0.054545454545454536,0.575
313,3,43000.0,0.0,10717.0,53717,0.1601190476190476,0.6035714285714285
314,3,0.0,73.0,2.0,75,0.24666666666666667,0.2533333333333333
315,1,53.0,9.0,3349.0,3411,0.0,0.0
316,1,0.0,15.0,131.0,146,0.0,0.0
317,0,3.0,0.0,0.0,3,0.06763636363636362,0.5653939393939392
318,0,4.0,3.0,2.0,9,0.06763636363636362,0.5653939393939392
319,0,305.0,71.0,146.0,522,0.090689503732982,0.33769880481837006
320,1,948.0,401.0,1280.0,2629,0.1001818783068783,0.5283840388007054
321,1,0.0,5.0,2681.0,2686,0.08734737484737486,0.4707163207163208
322,1,3100.0,11000.0,884.0,14984,0.09016369047619047,0.46394841269841275
323,1,1300.0,374.0,1549.0,3223,0.08734737484737486,0.4707163207163208
324,1,260.0,450.0,386.0,1096,0.09553030303030305,0.5128030303030303
325,0,25000.0,38000.0,7015.0,70015,-0.024999999999999994,0.4722222222222222
326,1,0.0,231.0,1068.0,1299,0.08734737484737486,0.4707163207163208
327,1,6500.0,0.0,2180.0,8680,-0.10984848484848485,0.3810606060606061
328,0,5.0,0.0,2.0,7,0.08472222222222224,0.3430555555555555
329,0,5.0,0.0,3.0,8,0.08472222222222224,0.3430555555555555
330,0,464.0,0.0,58.0,522,0.1578512396694215,0.4969696969696969
331,3,390.0,0.0,416.0,806,-0.13901515151515154,0.47777777777777775
332,4,55.0,0.0,1302.0,1357,0.25,0.25
333,0,896.0,0.0,1031.0,1927,0.08962962962962964,0.4408465608465608
334,0,332.0,0.0,131.0,463,0.21525252525252528,0.5434343434343435
335,1,143.0,119.0,221.0,483,-0.02,0.5370833333333334
336,3,0.0,4.0,30.0,34,0.1,0.4
337,1,143.0,0.0,221.0,364,-0.02,0.5370833333333334
338,4,91.0,50.0,18.0,159,-0.3625,0.6375
339,0,119.0,0.0,33.0,152,0.00018939393939393536,0.49444444444444446
340,0,945.0,0.0,2547.0,3492,0.09037268287268285,0.5407371332371331
341,1,81.0,7.0,1.0,89,0.4722727272727273,0.6575757575757576
342,0,195.0,87.0,41.0,323,0.11055096418732782,0.39840220385674924
343,0,67.0,18.0,4.0,89,0.2791746735649175,0.4573208634184244
344,0,0.0,8.0,217.0,225,0.0,0.0
345,1,0.0,146.0,381.0,527,0.0875,0.1625
346,1,3.0,1.0,3.0,7,0.06934893731503902,0.45525165042114196
347,0,50.0,36.0,3.0,89,0.22727272727272727,0.5454545454545454
348,1,0.0,231.0,1068.0,1299,0.08734737484737486,0.4707163207163208
349,1,75.0,0.0,14.0,89,0.04821428571428571,0.5388392857142857
350,1,0.0,0.0,0.0,0,0.04821428571428571,0.5388392857142857
351,0,26.0,0.0,94.0,120,-0.07222222222222223,0.6333333333333333
352,3,226.0,0.0,45.0,271,0.2208333333333333,0.7416666666666667
353,0,723.0,0.0,635.0,1358,0.0387396694214876,0.5607782369146005
354,0,696.0,0.0,293.0,989,-0.23392857142857146,0.5226190476190476
355,0,15.0,24.0,17.0,56,0.25625,0.68125
356,0,2000.0,652.0,1545.0,4197,0.23541666666666666,0.5552083333333333
357,2,162.0,0.0,76.0,238,-0.08464912280701756,0.5473684210526316
358,0,13.0,0.0,1.0,14,0.27,0.41
359,2,1200.0,195.0,140.0,1535,-0.04999999999999996,0.8166666666666667
360,0,0.0,15.0,746.0,761,0.0,0.0
361,3,0.0,47.0,1387.0,1434,-0.1277777777777778,0.29444444444444445
362,1,1000.0,121.0,48.0,1169,0.2375,0.4458333333333333
363,0,20.0,17.0,1675.0,1712,-0.06103896103896104,0.6012987012987013
364,0,0.0,9.0,1.0,10,0.0,0.0
365,0,0.0,370.0,429.0,799,0.03502808458415933,0.4762316759045731
366,4,86.0,100.0,248.0,434,-0.03229166666666669,0.3385416666666667
367,4,0.0,18.0,434.0,452,-0.25,0.8
368,1,2700.0,12000.0,455.0,15155,0.0,0.06666666666666667
369,0,0.0,36.0,235.0,271,0.225,0.26666666666666666
370,0,0.0,28.0,276.0,304,-0.03725490196078431,0.2803921568627451
371,4,21.0,0.0,15.0,36,0.30000000000000004,0.65
372,4,7.0,0.0,2.0,9,0.1975,0.6875
373,1,0.0,4.0,314.0,318,0.0,0.5
374,1,0.0,39.0,191.0,230,0.06666666666666667,0.39999999999999997
375,2,231.0,0.0,25.0,256,0.12666666666666665,0.4133333333333334
376,0,162.0,24.0,268.0,454,0.08236359736359734,0.3942021242021241
377,0,0.0,125.0,2630.0,2755,0.08548691369792286,0.39111627414379696
378,0,0.0,48.0,4760.0,4808,-0.07999999999999999,0.605
379,1,16000.0,24000.0,13346.0,53346,0.03333333333333333,0.06666666666666667
380,3,111.0,0.0,230.0,341,0.5499999999999999,0.6611111111111111
381,3,201.0,39.0,57.0,297,0.2833333333333333,0.5777777777777778
382,3,537.0,195.0,671.0,1403,0.25,0.33125
383,3,0.0,0.0,102.0,102,0.3,0.5
384,0,46.0,8.0,55.0,109,0.06629945286195288,0.36050350112850116
385,4,0.0,105.0,210.0,315,-0.13518518518518519,0.5407407407407407
386,0,0.0,85.0,284.0,369,-0.25,0.4444444444444444
387,0,128.0,0.0,135.0,263,0.1,0.2
388,0,0.0,797.0,7820.0,8617,0.06703042328042327,0.38161375661375657
389,3,24.0,0.0,4.0,28,-0.007803030303030303,0.4245454545454546
390,0,7500.0,0.0,7465.0,14965,0.03371944895382395,0.29507012085137085
391,0,335.0,3.0,1840.0,2178,-0.028571428571428577,0.47142857142857136
392,3,6.0,0.0,1.0,7,0.11249999999999999,0.2375
393,4,398.0,40.0,362.0,800,0.062499999999999986,0.7125
394,0,173.0,31.0,125.0,329,0.05,0.8
395,3,0.0,26.0,160.0,186,-0.004383116883116882,0.33896103896103896
396,1,2.0,5.0,0.0,7,-0.033333333333333326,0.7999999999999999
397,2,221000.0,10000.0,75508.0,306508,0.0982142857142857,0.31170634920634915
398,3,2.0,0.0,0.0,2,0.016161616161616155,0.5986868686868687
399,3,0.0,18.0,1.0,19,0.0,0.0
400,0,43.0,21.0,13.0,77,0.0,0.0
401,3,0.0,104.0,518.0,622,0.3637626262626263,0.6505050505050504
