has_words,id,link
"facebook,twitter",0,https://correctiv.org/faktencheck/2021/02/02/nein-die-who-hat-pcr-tests-nicht-als-unzuverlaessig-eingestuft/
social media,0,https://factcheck.afp.com/false-claim-covid-19-not-real-misattributed-us-professor
"tweet,social media",0,https://factcheck.afp.com/these-photos-show-doctor-yemen-offering-free-services-his-car-during-pandemic
"facebook,twitter",0,https://teyit.org/analiz-sinovacin-coronavac-asisinin-etkinligini-yuzde-70-olarak-acikladigi-iddiasi
facebook,0,https://factcheck.afp.com/misleading-claim-circulates-facebook-only-south-koreans-have-covid-19-antibodies
"facebook,twitter,tweet",0,https://lasillavacia.com/detector-no-colombia-no-ha-iniciado-vacunacion-contra-covid-79828
"facebook,twitter",0,https://chequeado.com/verificacionfb/no-el-creador-de-los-test-pcr-no-dijo-que-estos-no-detectan-el-nuevo-coronavirus/
social media,0,https://verafiles.org/articles/vera-files-fact-check-videos-shaking-woman-after-covid-19-va
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-governo-do-amazonas-deve-r-52-milhoes-white-martins/
"facebook,twitter",0,https://teyit.org/analiz-bilim-kurulu-uyesi-ates-karanin-ekmekten-covid-19-gecebilecegini-soyledigi-iddiasi
"facebook,twitter,tweet",0,https://www.buzzfeed.com/jp/kotahatachi/kono-shihai-kara-no
,0,https://factcheck.afp.com/covid-19-did-not-spare-us-amish-communities
,0,https://www.newtral.es/muertes-ancianos-vacuna-noruega/20210119/
,0,https://factcheck.afp.com/video-actually-shows-simulation-exercise-indonesia-not-real-covid-19-vaccination
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/20/verificamos-jovem-vacinado-disfarce/
"facebook,twitter,tweet",0,https://lasillavacia.com/detector-no-vacuna-arn-mensajero-no-modifica-adn-ni-afecta-esterilidad-79826
"facebook,twitter",0,https://teyit.org/analiz-nusretin-turkiyede-asi-oldugu-iddiasi
"facebook,twitter",0,https://teyit.org/analiz-sinovac-asilari-enjektorlerde-satildigindan-erdogan-ve-kocaya-uygulananin-baska-bir-asi-oldugu-iddiasi
social media,0,https://healthfeedback.org/claimreview/people-who-received-the-covid-19-vaccine-arent-more-likely-to-develop-facial-paralysis-than-people-who-didnt-receive-the-vaccine-rt-russia-today/
"facebook,twitter",0,https://www.aosfatos.org/noticias/foto-em-que-neymar-aparece-sendo-vacinado-e-de-2010-nao-atual/
,0,https://factcheck.afp.com/fabricated-news-report-falsely-claims-south-korea-pm-threatened-arrest-people-who-refuse-covid-19
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/19/verificamos-audio-whatsapp-vacina-hiv-cachorros-pcr/
"tweet,social media",0,https://factcheck.afp.com/discredited-us-naturopath-makes-false-claims-about-gates
,0,https://maldita.es/malditaciencia/20210224/afirmaciones-falsas-siete-universidades-virus-no-existe/
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/19/verificamos-doria-criancas-vacinadas/
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/18/verificamos-monica-calazans-placebo/
,0,https://healthfeedback.org/claimreview/overwhelming-weight-of-scientific-evidence-demonstrates-that-vaccines-are-safe-and-effective-contrary-to-claims-in-video-by-chiropractor-steve-baker/
,0,https://www.vishvasnews.com/viral/fact-check-no-who-un-is-not-sending-relief-fund-to-individuals-viral-post-is-fake/
social media,0,https://healthfeedback.org/claimreview/vaers-reports-alone-dont-demonstrate-that-the-covid-19-vaccines-caused-adverse-events-evidence-does-not-indicate-vaccines-caused-bells-palsy-and-deaths/
"facebook,twitter",0,https://www.aosfatos.org/noticias/nao-e-verdade-que-epidemiologista-disse-que-coronavac-nao-poderia-ser-aprovada/
"facebook,twitter",0,https://teyit.org/analiz-fotografin-saglik-bakanligina-ait-guncel-asi-arabasini-gosterdigi-iddiasi
"facebook,twitter,compartilhado",0,https://www.aosfatos.org/noticias/video-nao-mostra-cilindros-de-oxigenio-da-lg-carregamento-e-da-white-martins/
"facebook,tweet",0,https://www.politifact.com/factchecks/2020/nov/18/instagram-posts/no-covid-19-vaccines-wont-alter-your-dna-and-contr/
,0,https://efectococuyo.com/cocuyo-chequea/vacunas-contra-covid-temblores-cuerpo/
social media,0,https://verafiles.org/articles/vera-files-fact-check-no-total-lockdown-luzon-entire-country
"facebook,twitter",0,https://correctiv.org/faktencheck/2021/01/22/nein-diese-verordnung-belegt-nicht-dass-die-corona-massnahmen-bis-31-dezember-2021-verlaengert-sind/
"facebook,twitter",0,https://www.aosfatos.org/noticias/reportagem-antiga-da-tv-globo-sobre-uso-de-mascaras-circula-em-posts-como-atual/
"facebook,twitter",0,https://teyit.org/analiz-huseyin-ciloglunun-koronavirus-iddialari
"facebook,twitter,tweet",0,https://lasillavacia.com/detector-noruega-aun-no-relaciona-muerte-23-ancianos-vacuna-pfizer-79783
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/15/verificamos-white-martins-oxigenio-amazonas/
twitter,0,https://www.vishvasnews.com/health/fact-check-no-this-is-not-covid-5g-chip-diagram-viral-post-is-fake-2/
"facebook,twitter",0,https://teyit.org/analiz-dunya-saglik-orgutu-ve-hes-uygulamasina-iliskin-iddialar
"facebook,twitter",0,https://teyit.org/analiz-kocaeli-universitesi-rektorunun-torpille-onden-pfizer-asisi-edindigi-iddiasi
"tweet,social media",0,https://www.vishvasnews.com/english/health/quick-fact-check-fake-post-on-coronavirus-symptoms-falsely-attributed-to-aiims-resurfaces/
"facebook,twitter",0,https://correctiv.org/faktencheck/2021/01/19/nein-norwegen-hat-den-impfstoff-von-pfizer-und-biontech-nicht-wegen-todesfaellen-verboten/
,0,https://maldita.es/malditaciencia/20210201/mascarillas-no-causan-enfermedades-neurodegenerativas-Margarite-Griesz-Brisson/
"facebook,twitter",0,https://teyit.org/analiz-alisan-ve-cagla-sikelin-saglik-calisanlari-erisemezken-covid-19-asisi-oldugu-iddiasi
"facebook,twitter,compartilhado",0,https://www.aosfatos.org/noticias/video-de-teste-positivo-para-covid-19-em-kiwi-nao-prova-que-exames-sao-ineficazes/
social media,0,https://factcheck.afp.com/anti-parasite-medication-ivermectin-not-scientifically-proven-treatment-covid-19
"facebook,twitter",0,https://correctiv.org/faktencheck/2021/01/22/das-rki-warnt-nicht-vor-ffp2-masken-kann-gesundheitliche-auswirkungen-bei-lungenkranken-und-alten-aber-nicht-ausschliessen/
"facebook,twitter,compartilhado",0,https://piaui.folha.uol.com.br/lupa/2021/01/13/verificamos-pfizer-vacina-china/
,0,https://www.newtral.es/bulo-vacunas-tienen-arsenico-uranio/20210116/
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-taxa-de-eficacia-da-coronavac-caiu-de-78-para-5038-e-4969/
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-doria-foi-zombado-por-emissora-de-tv-nos-eua-video-foi-manipulado/
"facebook,twitter",0,https://correctiv.org/faktencheck/2021/01/21/keine-belege-dass-menschen-in-norwegen-aufgrund-einer-corona-impfung-starben/
,0,https://factcheck.afp.com/social-media-posts-mislead-south-korean-coronavirus-vaccine
"facebook,social media",0,http://www.mythdetector.ge/en/myth/government-portugal-does-not-confirm-connection-between-deaths-medical-worker-and-vaccination
"facebook,twitter",0,https://tfc-taiwan.org.tw/articles/4982
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/11/verificamos-mortes-aids-covid-19-2020/
social media,0,https://factcheck.afp.com/south-african-newspaper-clarifies-it-used-photo-british-woman-receiving-covid-19-vaccine-satirical
,0,https://factcheck.afp.com/hoax-thai-post-warning-message-shares-misleading-claim-about-covid-19-infection-touching-mail
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-pfizer-alertou-que-vacina-contra-covid-19-causa-ma-formacao-em-fetos/
"facebook,twitter",0,https://tfc-taiwan.org.tw/articles/4927
social media,0,https://factcheck.afp.com/researchers-speech-used-mislead-about-covid-19-vaccine-safety
"twitter,tweet,social media",0,https://www.vishvasnews.com/english/health/fact-check-no-this-is-not-covid-5g-chip-diagram-viral-post-is-fake/
"facebook,twitter",0,https://www.aosfatos.org/noticias/e-falso-que-washington-post-noticiou-que-china-nao-quer-usar-coronavac/
social media,0,https://healthfeedback.org/claimreview/strong-evidence-lacking-to-support-claim-that-ivermectin-is-a-cure-for-covid-19-there-are-only-limited-clinical-results-at-this-stage-oann/
,0,https://maldita.es/malditaciencia/20210107/chinda-brandolino-vacuna-covid-transgenesis-genes-esterilidad/
,0,https://www.vishvasnews.com/viral/fact-check-areas-of-meerut-sealed-to-check-outbreak-of-new-covid-strain-viral-video-passed-off-as-lucknow-2/
,0,https://factcheck.afp.com/non-medical-masks-can-offer-some-protection-against-covid-19-scientists-say
,0,https://maldita.es/malditobulo/20210108/no-austria-no-ha-prohibido-el-uso-de-mascarillas-en-las-escuelas/
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/15/verificamos-detran-recolher-veiculos-manaus/
"facebook,twitter",0,https://chequeado.com/verificacionfb/es-falso-que-fauci-director-del-niaid-no-recibio-la-vacuna-contra-el-coronavirus-y-fue-una-puesta-en-escena/
"facebook,twitter,compartilhado",0,https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/
"facebook,twitter",0,https://correctiv.org/faktencheck/2021/01/18/falsch-positive-corona-tests-doch-die-inzidenz-kann-unter-100-sinken/
tweet,0,https://www.vishvasnews.com/english/viral/fact-check-areas-of-meerut-sealed-to-check-outbreak-of-new-covid-strain-viral-video-passed-off-as-lucknow/
"facebook,twitter",0,https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/
,0,https://factcheck.afp.com/video-indonesian-officials-dancing-was-taken-country-detected-its-first-covid-19-case
tweet,0,https://factcheck.afp.com/potassium-chloride-pfizer-biontech-covid-19-vaccine-not-dangerous
"facebook,twitter",0,https://www.aosfatos.org/noticias/anvisa-nao-declarou-que-fabricante-da-coronavac-esta-fora-dos-padroes-de-qualidade/
