,id,title,text,claimDate,reviewDate,claimant,publisher,url,label,found,query,poynter_date
10440,10277,,,,,,,,,9,https://www.indiatoday.in/fact-check/story/fact-check-pope-francis-is-down-with-a-common-cold-and-not-coronavirus-1653196-2020-03-06,2020-03-06 00:00:00
10441,10278,,,,,,,,,9,https://maldita.es/malditobulo/2020/03/06/contagio-coronavirus-contener-respiracion-sorbos-agua-15-minutos/,2020-03-06 00:00:00
10442,10279,,,,,,,,,9,https://misbar.com/factcheck/5e625b9dd4a229380d417d15,2020-03-06 00:00:00
10443,10280,,,,,,,,,9,https://misbar.com/factcheck/5e62553fd4a22970307002f7,2020-03-06 00:00:00
10444,10281,,,,,,,,,9,https://politica.estadao.com.br/blogs/estadao-verifica/boato-falso-diz-que-teste-para-coronavirus-nos-eua-custa-mais-de-us-3-mil/?check=1,2020-03-06 00:00:00
10445,10282,,,,,,,,,9,https://www.mm.dk/tjekdet/artikel/har-coronavirus-faaet-38-procent-af-amerikanerne-til-at-droppe-corona-oellen,2020-03-06 00:00:00
10446,10284,,Aumentan las emisiones de dióxido de azufre sulfuro a raíz de la epidemia de coronavirus en Wuhan,2020-02-12T00:00:00Z,2020-03-06T17:45:00Z,Varias fuentes,AFP Factual,https://factual.afp.com/el-mapa-de-emisiones-de-dioxido-de-azufre-en-wuhan-muestra-una-prevision-de-la-nasa-no-indices,Falso,1,https://factual.afp.com/el-mapa-de-emisiones-de-dioxido-de-azufre-en-wuhan-muestra-una-prevision-de-la-nasa-no-indices,2020-03-06 00:00:00
10447,10285,,,,,,,,,9,https://factcheck.vlaanderen/factcheck/beschermt-het-homeopathisch-middel-oscillococcinum-tegen-corona,2020-03-06 00:00:00
10448,10286,,,,,,,,,9,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,2020-03-06 00:00:00
10449,10287,,,,,,,,,9,https://www.newtral.es/contener-la-respiracion-no-permite-saber-si-uno-esta-infectado-por-coronavirus-y-tomar-agua-cada-15-minutos-tampoco-acabara-con-el/20200310/?check=1,2020-03-06 00:00:00
10450,10288,Aaj Tak did not telecast the news which said drinking alcohol or ...,Aaj Tak channel telecasted a program that said drinking alcohol or weed can cure COVID-19,2020-03-04T00:00:00Z,2020-03-06T00:00:00Z,SOCIAL MEDIA POST,FACTLY,https://factly.in/aaj-tak-did-not-telecast-the-news-which-said-drinking-alcohol-or-weed-can-cure-covid-19/,FALSE,1,https://factly.in/aaj-tak-did-not-telecast-the-news-which-said-drinking-alcohol-or-weed-can-cure-covid-19/,2020-03-06 00:00:00
10451,10289,,,,,,,,,9,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,2020-03-06 00:00:00
10452,10290,,,,,,,,,9,http://www.ecuadorchequea.com/las-mentiras-sobre-el-covid-19-en-ecuador/?fbclid=IwAR3bwAz0dMLw03No-V2hs3mNm5Nvl8V_p0AnNV7GbLCEh9do16WHgMrsBiE,2020-03-06 00:00:00
10453,10291,,,,,,,,,9,https://hoax-alert.leadstories.com/3471846-fact-check-mayor-of-buffalo-did-not-tell-people-to-evacuate-due-to-coronavirus-outbreak.html,2020-03-06 00:00:00
10454,10292,,,,,,,,,9,https://www.newtral.es/contener-la-respiracion-no-permite-saber-si-uno-esta-infectado-por-coronavirus-y-tomar-agua-cada-15-minutos-tampoco-acabara-con-el/20200310/,2020-03-06 00:00:00
