,claimReviewed,datePublished,author_name,url
2977,"Ontem, de ontem pra hoje e não tão noticiando, não estão falando. Então, assim, no Einstein, a gente deve ter mais de cem pacientes na UTI que não estão falando, no Sírio Libanês",2020-03-27,Boatos.org,https://www.boatos.org/saude/fernando-parrillo-prevent-senior-dados-mortes-coronavirus-escondidos.html
2978,"""This says that New York Governor Cuomo rejected buying recommended 16,000 ventilators in 2015 for the pandemic — for a pandemic; established death panels and lotteries instead.""",2020-03-26,FactCheck.org,https://www.factcheck.org/2020/03/trumps-misleading-ventilator-counter-punch-at-cuomo/
2979,"""In eight days, we’re doing more [coronavirus] testing than they’ve done in eight weeks,"" referring to South Korea.",2020-03-26,FactCheck.org,https://www.factcheck.org/2020/03/trumps-faulty-testing-claims/
2980,Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,2020-03-26,PolitiFact,https://www.politifact.com/factchecks/2020/mar/26/facebook-posts/theres-no-evidence-covid-19-can-survive-surfaces-1/
2981,Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.,2020-03-26,PolitiFact,https://www.politifact.com/factchecks/2020/mar/26/facebook-posts/some-fast-food-chains-turn-away-truckers-drive-thr/
2982,వార్తాపత్రికల ద్వారా కూడా కొరోనా వైరస్ వ్యాపిస్తుంది,2020-03-26,FACTLY,https://factly.in/telugu-the-risk-of-being-infected-with-coronavirus-from-a-newspaper-is-very-low/
2983,El dióxido de cloro cura el coronavirus,2020-03-26,Newtral,https://www.newtral.es/bulo-dioxido-de-cloro-coronavirus-peligroso-salud/20200325/
2984,Mustard oil prevents a person from getting infected with COVID-19,2020-03-26,FACTLY,https://factly.in/mustard-oil-has-health-benefits-but-does-not-prevent-covid-19/
2985,Dokter Li Wenliang dan rumah sakit di Cina menyarankan minum teh untuk menyembuhkan pasien yang terinfeksi virus Corona Covid-19,2020-03-26,Tempo.co,https://cekfakta.tempo.co/fakta/702/fakta-atau-hoaks-benarkah-dokter-li-wenliang-dan-rs-di-cina-sarankan-minum-teh-bagi-pasien-corona
2986,"Dr.LiWenliang சீனாவின் ஹீரோ டாக்டர். கொரோனா வைரசை முதன்முதலாக கண்டுபிடித்ததற்காக சீன அரசினால் தண்டிக்கப்பட்டு தடுத்து வைக்கப்பட்டவர். அதே வைரசினால் பீடிக்கப்பட்டு அநியாயமாக பலியெடுக்கப்பட்டவர். ஆனால் அந்த கதாநாயகன் இடைப்பட்ட சிறு காலத்தில் தனது மனிதநேயமிக்க திறன்வாய்ந்த ஆராய்ச்சிகள் மூலம் அதற்கு தீர்வையும் விட்டுச் சென்றிருக்கிறார்.
ஆம் Covid-19 என்ற அரக்கனின் ஆற்றலை கொன்றுவிடும் ரசாயனங்களான Methylxthine, Theobromine மற்றும் theophyline ஆகியவை கொரோனாவிட்கு எதிரான நோய் எதிர்ப்பு சக்தியை அதிகரித்து அதனை கட்டுப்படுத்துகிறது என்ற குறிப்பை இவ்வுலகிற்கு விட்டுச் சென்றார். இதில் வியப்பான விடயம் என்னவெனில் அந்த மூன்று ரசாயனங்களும் செரிந்திருப்பது நாம் தினமும் அருந்தும் Tea எனும் பானத்தில்தான்.

தேயிலை செடி இந்த இரசாயனங்களை உற்பத்தி செய்தி அதனை அண்டவிடாமல் உயிர்களை காக்கிறது. இதனைத் தெரிந்து கொண்ட சீன வைத்தியர்கள் வைத்தியசாலைகளில் தினமும் மூன்று வேளை தேநீர் வழங்கி பெருமளவிலான நோயாளிகளை குணப்படுத்தி விட்டார்கள். இறுதியில் இந்த pandemic நோயின் மையமான wuhan முழுமையாக கட்டுப்பாட்டுக்குள் கொண்டுவரப்பட்டது. இதனை பகிருங்கள் தீர்வு உங்கள் சமையல் அறையிலேயே இருக்கிறது",2020-03-26,Youturn,https://youturn.in/factcheck/tea-cure-corona-virus.html
