counter,topic,likes,retweets,followers,interaction_sum
661,0,5598.0,1061.0,2220662.0,2227321
662,0,160085.0,34131.0,9537619.0,9731835
663,0,5598.0,1061.0,2220662.0,2227321
664,1,11611.0,1670.0,2364015.0,2377296
665,0,160085.0,34131.0,9537619.0,9731835
666,0,160085.0,34131.0,9537619.0,9731835
667,1,6.0,0.0,116496.0,116502
668,0,,,,116502
669,1,0.0,0.0,5178.0,5178
670,0,,,,5178
671,0,,,,5178
672,2,1.0,0.0,30.0,31
673,0,879.0,570.0,284794.0,286243
674,0,500.0,233.0,50709.0,51442
675,1,,,,51442
676,0,328.0,206.0,391458.0,391992
677,0,14955.0,7380.0,55258.0,77593
678,1,28545.0,5227.0,6791191.0,6824963
679,0,160085.0,34131.0,9537620.0,9731836
680,0,160314.0,34130.0,9537779.0,9732223
681,0,73.0,14.0,16765.0,16852
682,0,317.0,63.0,62726.0,63106
683,0,,,,63106
684,0,1523.0,529.0,18371.0,20423
685,2,118.0,48.0,754527.0,754693
686,0,,,,754693
687,1,,,,754693
688,0,,,,754693
689,0,,,,754693
690,0,605.0,81.0,67646.0,68332
691,0,830.0,739.0,228344.0,229913
692,0,221.0,58.0,342587.0,342866
693,0,830.0,739.0,228344.0,229913
694,0,,,,229913
695,0,,,,229913
696,1,246.0,129.0,230149.0,230524
697,0,2456.0,1501.0,961526.0,965483
698,0,22224.0,4841.0,4573538.0,4600603
699,0,,,,4600603
700,0,123.0,56.0,5025.0,5204
701,0,582.0,316.0,182643.0,183541
702,2,3.0,2.0,8671.0,8676
703,0,2583.0,1039.0,1437019.0,1440641
704,0,19.0,10.0,195760.0,195789
705,0,4133.0,1263.0,7119797.0,7125193
706,0,39.0,42.0,3034604.0,3034685
707,2,5.0,1.0,194.0,200
708,0,3.0,1.0,6149.0,6153
709,0,,,,6153
710,0,3085.0,3840.0,7903.0,14828
711,0,,,,14828
712,1,59.0,67.0,54942.0,55068
713,0,3200.0,524.0,454447.0,458171
714,0,5911.0,1284.0,4360016.0,4367211
715,0,66.0,15.0,429007.0,429088
716,0,,,,429088
717,0,2583.0,1039.0,1437019.0,1440641
718,0,6748.0,5834.0,1437019.0,1449601
719,2,303.0,104.0,40350.0,40757
720,0,640.0,71.0,137776.0,138487
721,0,,,,138487
722,0,582.0,316.0,182643.0,183541
723,1,28545.0,5227.0,6791194.0,6824966
724,0,919.0,266.0,286663.0,287848
725,0,331108.0,86976.0,129989226.0,130407310
726,0,1312.0,792.0,1498568.0,1500672
