,topic,likes,retweets,followers,interaction_sum,polarity,subjectivity
392,0,8.0,5.0,12495.0,12508,0.0,0.0
393,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
394,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
395,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
396,0,8.0,5.0,12495.0,12508,0.0,0.0
397,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
398,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
399,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
400,3,,,,12500,0.0,0.0
401,3,,,,12500,0.0,0.0
402,3,2449.0,2505.0,3638548.0,3643502,0.0,0.0
403,0,116.0,90.0,15676.0,15882,-0.3,0.55
404,0,501.0,261.0,10310.0,11072,-0.5,1.0
405,0,8.0,5.0,12495.0,12508,0.0,0.0
406,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
407,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
408,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
409,0,548.0,329.0,105598.0,106475,-0.5,1.0
410,3,,,,106475,0.0,0.0
411,3,,,,106475,0.3,0.425
412,0,547.0,294.0,825157.0,825998,-0.18333333333333338,0.3333333333333333
413,0,87.0,57.0,891953.0,892097,-0.4000000000000001,0.6
414,3,,,,892097,0.0,0.0
415,3,562.0,103.0,46913.0,47578,0.25833333333333336,0.43333333333333335
416,0,8.0,5.0,12495.0,12508,0.0,0.0
417,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
418,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
419,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
420,3,8210.0,2193.0,1330223.0,1340626,0.0,0.0
421,3,413.0,277.0,9138292.0,9138982,0.0,0.0
422,0,8.0,5.0,12495.0,12508,0.0,0.0
423,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
424,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
425,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
426,0,548.0,329.0,105598.0,106475,-0.5,1.0
427,0,8.0,5.0,12495.0,12508,0.0,0.0
428,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
429,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
430,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
431,0,8.0,5.0,12495.0,12508,0.0,0.0
432,0,2.0,2.0,12495.0,12499,0.3444444444444445,0.5222222222222223
433,3,2.0,1.0,12495.0,12498,0.11363636363636363,0.30606060606060603
434,0,1.0,4.0,12495.0,12500,-2.7755575615628914e-17,0.8
435,0,31226.0,4527.0,692210.0,727963,0.0,1.0
436,3,14327.0,6964.0,881497.0,902788,0.5,0.5
437,3,3980.0,2183.0,389221.0,395384,0.0,0.0
438,0,410.0,270.0,6730.0,7410,-0.4000000000000001,0.6
